id,name,wins,losses,total_games,freq_wins
1,Rafael-Nadal,57,15,72,0.7916666666666666
2,Juan-Monaco,22,24,46,0.4782608695652174
3,Juan-Martin-Del-Potro,35,19,54,0.6481481481481481
4,Mardy-Fish,32,25,57,0.5614035087719298
5,Roger-Federer,58,12,70,0.8285714285714286
6,Jo-Wilfried-Tsonga,45,24,69,0.6521739130434783
7,Guillermo-Garcia-Lopez,12,24,36,0.3333333333333333
8,Florian-Mayer,34,22,56,0.6071428571428571
9,Milos-Raonic,22,16,38,0.5789473684210527
10,Santiago-Giraldo,21,25,46,0.45652173913043476
11,Andy-Murray,47,12,59,0.7966101694915254
12,Richard-Gasquet,29,18,47,0.6170212765957447
13,David-Nalbandian,16,12,28,0.5714285714285714
14,Gilles-Muller,9,14,23,0.391304347826087
15,Andy-Roddick,22,16,38,0.5789473684210527
16,Novak-Djokovic,67,7,74,0.9054054054054054
17,Fernando-Verdasco,24,23,47,0.5106382978723404
18,Ivan-Dodig,19,24,43,0.4418604651162791
19,Ryan-Sweeting,15,22,37,0.40540540540540543
20,Radek-Stepanek,20,23,43,0.46511627906976744
21,John-Isner,26,18,44,0.5909090909090909
22,Pablo-Andujar,15,21,36,0.4166666666666667
23,Ivan-Ljubicic,16,17,33,0.48484848484848486
24,Robin-Soderling,31,9,40,0.775
25,Feliciano-Lopez,29,24,53,0.5471698113207547
26,Marin-Cilic,33,23,56,0.5892857142857143
27,Marcos-Baghdatis,17,22,39,0.4358974358974359
28,Michael-Llodra,10,21,31,0.3225806451612903
29,Gael-Monfils,27,16,43,0.627906976744186
30,David-Ferrer,50,19,69,0.7246376811594203
31,Jarkko-Nieminen,15,24,39,0.38461538461538464
32,Kei-Nishikori,29,20,49,0.5918367346938775
33,Alexandr-Dolgopolov,29,26,55,0.5272727272727272
34,Tomas-Berdych,41,22,63,0.6507936507936508
35,Somdev-K-Devvarman,12,19,31,0.3870967741935484
36,Ivo-Karlovic,17,16,33,0.5151515151515151
37,Olivier-Rochus,8,16,24,0.3333333333333333
38,Bernard-Tomic,16,16,32,0.5
39,Karol-Beck,4,10,14,0.2857142857142857
40,Ernests-Gulbis,17,19,36,0.4722222222222222
41,Nikolay-Davydenko,17,22,39,0.4358974358974359
42,Gilles-Simon,29,25,54,0.5370370370370371
43,Nicolas-Almagro,36,22,58,0.6206896551724138
44,Fabio-Fognini,15,26,41,0.36585365853658536
45,Juan-Carlos-Ferrero,15,8,23,0.6521739130434783
46,Marcel-Granollers,19,23,42,0.4523809523809524
47,Stanislas-Wawrinka,25,17,42,0.5952380952380952
48,Janko-Tipsarevic,37,26,63,0.5873015873015873
49,Andreas-Seppi,17,25,42,0.40476190476190477
50,Simone-Bolelli,5,8,13,0.38461538461538464
51,Carlos-Berlocq,13,25,38,0.34210526315789475
52,Mikhail-Kukushkin,9,26,35,0.2571428571428571
53,Mikhail-Youzhny,19,23,42,0.4523809523809524
54,Grigor-Dimitrov,7,23,30,0.23333333333333334
55,Sergiy-Stakhovsky,14,21,35,0.4
56,Victor-Hanescu,10,22,32,0.3125
57,Horacio-Zeballos,6,9,15,0.4
58,Pablo-Cuevas,12,9,21,0.5714285714285714
59,Eduardo-Schwank,5,9,14,0.35714285714285715
60,Robin-Haase,15,24,39,0.38461538461538464
61,Adrian-Mannarino,12,20,32,0.375
62,Dmitry-Tursunov,14,15,29,0.4827586206896552
63,Kevin-Anderson,26,25,51,0.5098039215686274
64,Sam-Querrey,12,16,28,0.42857142857142855
65,Philipp-Petzschner,17,20,37,0.4594594594594595
66,James-Blake,15,17,32,0.46875
67,Denis-Istomin,7,18,25,0.28
68,Igor-Kunitsyn,8,21,29,0.27586206896551724
69,Philipp-Kohlschreiber,23,26,49,0.46938775510204084
70,Tommy-Robredo,12,11,23,0.5217391304347826
71,Lleyton-Hewitt,4,10,14,0.2857142857142857
72,Ryan-Harrison,12,15,27,0.4444444444444444
73,Albert-Ramos,12,20,32,0.375
74,Potito-Starace,13,23,36,0.3611111111111111
75,Rui-Machado,3,13,16,0.1875
76,Xavier-Malisse,16,24,40,0.4
77,Jurgen-Melzer,14,20,34,0.4117647058823529
78,Igor-Andreev,13,26,39,0.3333333333333333
79,Juan-Ignacio-Chela,17,20,37,0.4594594594594595
80,Viktor-Troicki,29,25,54,0.5370370370370371
81,Yen-Hsun-Lu,8,21,29,0.27586206896551724
82,Alex-Bogomolov-Jr,18,25,43,0.4186046511627907
83,Fernando-Gonzalez,2,6,8,0.25
84,Michael-Berrer,12,21,33,0.36363636363636365
85,Pere-Riba,9,19,28,0.32142857142857145
86,Ruben-Ramirez-Hidalgo,5,12,17,0.29411764705882354
87,Lukasz-Kubot,15,17,32,0.46875
88,Robert-Kendrick,4,9,13,0.3076923076923077
89,Dustin-Brown,4,11,15,0.26666666666666666
90,Thomaz-Bellucci,12,21,33,0.36363636363636365
91,Albert-Montanes,16,23,39,0.41025641025641024
92,Andreas-Haider-Maurer,7,12,19,0.3684210526315789
93,Jeremy-Chardy,10,16,26,0.38461538461538464
94,Arnaud-Clement,8,13,21,0.38095238095238093
95,Lukas-Rosol,11,16,27,0.4074074074074074
96,Rajeev-Ram,5,5,10,0.5
97,Alexander-Peya,0,3,3,0.0
98,Juan-Sebastian-Cabal,0,2,2,0.0
99,Colin-Fleming,0,1,1,0.0
100,Santiago-Gonzalez,1,1,2,0.5
101,Marc-Lopez,1,1,2,0.5
102,Rohan-Bopanna,0,4,4,0.0
103,Michael-Kohlmann,0,1,1,0.0
104,Simon-Aspelin,0,1,1,0.0
105,Mikhail-Elgin,1,5,6,0.16666666666666666
106,Robert-Lindstedt,0,1,1,0.0
107,Jean-Julien-Rojer,0,1,1,0.0
